	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
907	2.0	1239.0		909932.0		1843489.0		31977.0			906.0			907.0	
912	2.0	1224.0		28211.0		356.0		41294.0			911.0			912.0	
913	2.0	1224.0		28211.0		356.0		41294.0			911.0			913.0	
915	2.0	1224.0		28216.0		32003.0		206379.0			914.0			915.0	
916	2.0	1224.0		28216.0		32003.0		206379.0			914.0			916.0	
920	2.0	1224.0		1807140.0		225057.0		225058.0			119977.0			920.0	
921	2.0	1224.0		28211.0		356.0		335928.0			152053.0			921.0	
926	2.0	1224.0		28216.0		80840.0					32012.0			926.0	
927	2.0	1224.0		1236.0		135613.0		255526.0			109262.0			927.0	
929	2.0	1224.0		1807140.0		225057.0		225059.0			119979.0			929.0	
930	2.0	1224.0		1807140.0		225057.0		225058.0			119977.0			930.0	
931	2.0	1224.0		28216.0		32003.0		2008790.0			919.0			931.0	
934	2.0	1224.0		1236.0		72273.0		135616.0			933.0			934.0	
940	2.0	200783.0		187857.0		32069.0		64898.0			939.0			940.0	
944	2.0	1224.0		28211.0		766.0		942.0			943.0		106178.0	944.0	
945	2.0	1224.0		28211.0		766.0		942.0			943.0		106178.0	945.0	
948	2.0	1224.0		28211.0		766.0		942.0			768.0		106179.0	948.0	
950	2.0	1224.0		28211.0		766.0		942.0			33993.0			950.0	
951	2.0	1224.0		28211.0		766.0		942.0			33993.0			951.0	
954	2.0	1224.0		1236.0		72273.0		34064.0			262.0			954.0	
955	2.0	1224.0		28211.0		766.0		942.0		952.0	953.0			955.0	
959	2.0	1224.0		1553900.0		213481.0		213483.0			958.0			959.0	
964	2.0	1224.0		28216.0		80840.0		75682.0			963.0			964.0	
966	2.0	1224.0		1236.0		135619.0		135620.0			965.0			966.0	
971	2.0	1239.0		909932.0		909929.0		1843491.0			970.0			971.0	
979	2.0	976.0		117743.0		200644.0		49546.0			104264.0			979.0	
982	2.0	976.0		200643.0		1970189.0		558415.0			1618113.0			982.0	
983	2.0	976.0		117743.0		200644.0		49546.0			237.0			983.0	
984	2.0	976.0		117747.0		200666.0		84566.0			84567.0			984.0	
985	2.0	976.0		768503.0		768507.0		89373.0			978.0			985.0	
986	2.0	976.0		117743.0		200644.0		49546.0			237.0			986.0	
987	2.0	976.0		117743.0		200644.0		49546.0			290174.0			987.0	
988	2.0	976.0		117743.0		200644.0		49546.0			283735.0			988.0	
989	2.0	976.0		200643.0		1970189.0		558415.0			59738.0			989.0	
991	2.0	976.0		117743.0		200644.0		49546.0			237.0			991.0	
995	2.0	976.0		117747.0		200666.0		84566.0			929509.0			995.0	
