	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies	varietas	forma
1215104	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas japonica			
1215114	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas parafulva			
1215343	Bacteria			Proteobacteria		Alphaproteobacteria		Rhizobiales		Rhizobiaceae			Liberibacter			Liberibacter crescens			
1215344	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales		Agaricaceae			Leucoagaricus			Leucoagaricus lateritiopurpureus			
1215345	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales		Agaricaceae			Leucoagaricus			Leucoagaricus proximus			
1215346	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales		Agaricaceae			Leucoagaricus			Leucoagaricus rubrobrunneus			
1215361	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum nupharicola			
1215366	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum psidii			
1215730	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum kahawae	Colletotrichum kahawae subsp. cigarro		
1215731	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum aenigma			
1215732	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum aotearoa			
1215733	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum queenslandicum			
1215734	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum alienum			
1215735	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum alatae			
1215736	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum clidemiae			
1215737	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum aeschynomenes			
1215738	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum ti			
1215915	Bacteria			Firmicutes		Bacilli		Lactobacillales		Streptococcaceae			Lactococcus			Lactococcus raffinolactis			
1216006	Bacteria			Proteobacteria		Gammaproteobacteria		Vibrionales		Vibrionaceae			Vibrio			Vibrio aerogenes			
1216007	Bacteria			Proteobacteria		Gammaproteobacteria		Alteromonadales		Pseudoalteromonadaceae			Pseudoalteromonas			Pseudoalteromonas ruthenica			
1216362	Bacteria			Fusobacteria		Fusobacteriia		Fusobacteriales		Fusobacteriaceae			Fusobacterium			Fusobacterium hwasookii			
1216470	Bacteria			Proteobacteria		Gammaproteobacteria		Enterobacterales		Enterobacteriaceae			Enterobacter		Enterobacter cloacae complex	Enterobacter roggenkampii			
1216472	Viruses									Hepeviridae						Bat hepevirus			
1216926	Viruses							Caudovirales		Siphoviridae	Tunavirinae		Tunavirus			Escherichia virus ADB2			
1216928	Viruses			Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Phenuiviridae			Banyangvirus			Heartland banyangvirus			
1216932	Bacteria			Firmicutes		Clostridia		Clostridiales		Clostridiaceae			Clostridium			Clostridium bornimense			
1216961	Bacteria			Proteobacteria		Gammaproteobacteria		Aeromonadales		Aeromonadaceae			Aeromonas			Aeromonas sp. 159			
1216966	Bacteria			Proteobacteria		Gammaproteobacteria		Enterobacterales		Hafniaceae			Edwardsiella			Edwardsiella hoshinae			
1216967	Bacteria			Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Elizabethkingia			Elizabethkingia meningoseptica			
1216968	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Intrasporangiaceae			Janibacter			Janibacter anophelis			
1216969	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Intrasporangiaceae			Janibacter			Janibacter corallicola			
1216970	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Intrasporangiaceae			Janibacter			Janibacter limosus			
1216972	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Intrasporangiaceae			Janibacter			Janibacter terrae			
1216973	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Micrococcaceae			Arthrobacter			Arthrobacter luteolus			
1216974	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Micrococcaceae			Arthrobacter			Arthrobacter woluwensis			
1216975	Bacteria			Actinobacteria		Actinobacteria		Micrococcales		Micrococcaceae			Glutamicibacter			Glutamicibacter mysorens			
1217052	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Ralstonia			Ralstonia sp. A12			
1217143	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae			Colletotrichum			Colletotrichum salsolae			
1217206	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae			Jobellisiaceae			Jobellisia			Jobellisia guangdongensis			
1217208	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae			Conlariaceae			Conlarium			Conlarium duplumascospora			
1217418	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Cupriavidus			Cupriavidus sp. HPC(L)			
1217581	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales					Starmerella			[Candida] sirachaensis			
1217582	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae			Candida			Candida sakaeoensis			
1217648	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter beijerinckii			
1217655	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter guillouiae			
1217658	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter gyllenbergii			
1217678	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Dothideales		Saccotheciaceae			Kabatiella			Kabatiella bupleuri			
1217688	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 542			
1217692	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 298			
1217693	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter variabilis			
1217694	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. CIP 64.2			
1217695	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter colistiniresistens			
1217696	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter colistiniresistens			
1217697	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 1847			
1217698	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 3623			
1217699	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. CIP 110321			
1217700	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. CIP 70.18			
1217701	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. ANC 3880			
1217702	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 1867			
1217703	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. ANC 4105			
1217704	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 284			
1217705	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. ANC 3862			
1217706	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 2168			
1217707	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. ANC 3929			
1217708	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 2100			
1217709	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 713			
1217710	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 899			
1217711	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 236			
1217712	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 758			
1217713	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. NIPH 809			
1217714	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter sp. ANC 3789			
1217715	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter bohemicus			
1217718	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Cupriavidus			Cupriavidus sp. BIS7			
1217720	Bacteria			Proteobacteria		Alphaproteobacteria		Rhodospirillales		Acetobacteraceae			Roseomonas			Roseomonas sp. B5			
1217722	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Pseudomonadaceae			Pseudomonas			Pseudomonas sp. S13.1.2			
1217799	Bacteria			Chloroflexi		Dehalococcoidia							Dehalogenimonas			Dehalogenimonas alkenigignens			
1217810	Viruses							Caudovirales		Podoviridae	Autographivirinae		Zindervirus			Pectobacterium phage PP1			
1217821	Viruses									Parvoviridae	Densovirinae		Iteradensovirus			Lepidopteran iteradensovirus 2			
1217826	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Xylonomycetes		Xylonales		Xylonaceae			Xylona			Xylona heveae			
1217839	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Boletales	Suillineae	Suillaceae			Suillus			Suillus ponderosus			
1217970	Bacteria			Proteobacteria		Alphaproteobacteria		Rhodobacterales		Rhodobacteraceae			Oceanicola			Oceanicola litoreus			
1217988	Bacteria			Proteobacteria		Gammaproteobacteria		Pseudomonadales		Moraxellaceae			Acinetobacter			Acinetobacter schindleri			
